Date,AAPL,MSFT,GOOG,AMZN,NVDA,META,JPM,GS,BAC,JNJ,UNH,PFE,KO,PG,NKE,WMT,XOM,CVX,CAT,HON,UPS,DIS,NFLX,TSLA,COST
2021-01-04,125.856712,208.406540,85.708336,159.331497,13.076018,266.845886,110.051926,234.088074,26.464046,135.059662,319.662109,28.367760,45.081974,120.756111,129.605042,45.541046,33.693787,67.829155,165.243362,176.116821,131.416641,173.592010,52.285999,243.256668,359.197845
2021-01-05,127.412773,208.607574,86.337173,160.925507,13.366434,268.860138,110.650742,239.326294,26.666737,136.647583,315.363403,28.660603,44.586376,121.527168,130.650421,45.298641,35.317585,69.662804,166.595062,176.548737,129.587448,174.334534,52.080002,245.036667,355.030884
2021-01-06,123.123840,203.198502,86.057968,156.919006,12.578444,261.259796,115.846443,252.240875,28.332310,137.933456,328.598053,28.413992,43.167957,122.806404,131.686523,45.581455,36.218796,71.904816,175.866486,179.767059,129.202286,174.998886,50.049000,251.993332,349.626129
2021-01-07,127.325241,208.980957,88.634811,158.108002,13.305860,266.647491,119.650749,257.629395,28.957994,138.399475,333.866211,28.560425,42.689449,121.658615,134.091736,45.578346,36.502953,72.241135,176.202103,180.063446,127.565613,174.471298,50.889000,272.013336,347.641937
2021-01-08,128.424194,210.254242,89.624687,159.134995,13.238803,265.486633,119.782829,256.242523,28.667177,138.114639,332.366272,28.614368,43.646465,121.606033,135.386871,45.572128,36.908905,72.929764,176.229309,177.878448,127.076187,174.578781,51.040001,293.339996,349.550507
2021-01-11,125.438484,208.215073,87.616676,155.710495,13.582566,254.840118,121.570511,259.555054,29.143059,137.536453,329.951721,29.107582,42.894527,120.782402,136.034424,45.777271,38.029324,73.346123,175.866486,176.464111,129.860214,174.969559,49.910000,270.396667,343.947357
2021-01-12,125.263451,205.764236,86.616386,156.041504,13.446208,249.134903,123.481476,266.957581,29.662996,136.466370,326.860260,28.652901,42.817619,120.081444,134.184265,46.299404,38.873703,74.739372,179.204895,176.904449,131.504929,171.940903,49.424999,283.146667,344.126862
2021-01-13,127.296043,207.114120,87.005699,158.294495,13.493073,249.680634,123.595955,267.602448,29.486750,136.259232,324.729218,28.406292,42.860344,120.265480,132.324799,45.826996,39.312122,74.667313,177.708054,175.329178,130.863083,172.067902,50.778999,284.803345,346.725372
2021-01-14,125.370438,203.935699,86.300476,156.373505,13.162519,243.727356,124.318062,271.957397,29.953810,138.641113,320.604126,28.321520,42.065689,118.986221,130.715179,45.677803,40.846615,76.460938,179.077927,176.675812,131.151901,169.439774,50.085999,281.666656,342.378784
2021-01-15,123.649025,203.581467,86.102615,155.212494,12.822743,249.402847,122.090065,265.897583,29.090178,138.339081,321.308533,28.282990,41.612820,118.092522,130.178619,44.953644,38.881828,73.738472,176.555893,174.439941,127.485397,167.495575,49.798000,275.386658,342.199402
2021-01-19,124.320076,207.209824,88.813850,156.037994,12.988022,259.066956,121.561668,259.881958,28.878679,140.479324,322.122375,28.306108,41.450466,117.058655,128.837234,44.565151,39.653118,75.676224,176.984589,175.108963,125.383347,168.296707,50.176998,281.516663,334.933197
2021-01-20,128.404755,214.772903,93.576736,163.169006,13.327547,265.397339,119.738808,256.587097,28.499741,140.134094,320.887726,28.128851,41.595722,115.595383,132.102798,45.224041,40.213337,76.372849,175.415894,176.226959,128.239548,169.644958,58.633999,283.483337,341.386719
2021-01-21,133.111832,215.376068,93.792458,165.349503,13.827865,270.745331,118.734901,255.615326,27.997429,139.573166,324.692596,28.113440,41.826431,115.481674,131.001984,45.018913,39.060436,73.674416,175.279068,173.813217,128.448135,167.339249,57.984001,281.663330,342.804016
2021-01-22,135.251511,216.314301,94.278488,164.611496,13.673306,272.362579,117.819031,255.633057,27.803549,141.143814,317.878662,28.167391,41.433388,114.591385,128.911224,45.478901,38.508347,73.450226,175.051132,171.289398,127.557579,168.804749,56.516998,282.213318,342.331573
2021-01-25,138.995712,219.741562,94.196663,164.699997,13.614225,275.845337,116.348389,250.023743,27.459862,143.240891,318.116486,28.729965,41.681179,116.565895,127.246109,45.438496,38.078041,72.785614,170.855835,170.967575,129.771942,167.935226,55.678001,293.600006,341.934692
2021-01-26,139.229111,222.422195,95.081390,166.306503,13.396848,279.853851,115.872864,248.893051,27.265989,147.124420,313.817596,28.753084,42.116951,117.315147,124.979599,45.845638,37.241791,71.552498,170.737305,170.281586,129.515167,165.658829,56.193001,294.363342,344.863800
2021-01-27,138.159378,222.967880,90.794075,161.628998,12.880829,270.021057,112.596931,241.446411,26.287790,144.880615,304.561676,27.928478,41.467552,113.163414,121.205238,44.705021,36.819595,70.623657,164.736282,168.858734,126.482483,159.279068,52.327999,288.053345,336.747375
2021-01-28,133.325851,228.740723,92.396927,161.880997,13.013695,262.936584,114.578339,242.939240,26.719604,145.985245,309.281097,27.936274,41.997334,114.908722,124.628082,44.677048,37.396042,71.280258,168.119843,171.789047,126.177643,167.925446,53.860001,278.476654,337.380432
2021-01-29,128.336670,222.068008,91.039574,160.309998,12.952621,256.318542,113.310219,239.538330,26.129168,140.781372,305.101288,27.967442,41.142857,113.013565,123.582726,43.663841,36.405537,68.221512,166.751801,165.462585,124.356415,164.300797,53.238998,264.510010,333.005585
2021-02-01,130.456802,229.430038,94.293343,167.143997,13.199163,259.969910,114.146828,242.683136,26.402359,140.418869,305.485474,27.889534,41.424824,113.683472,125.543900,43.284660,36.470482,69.190376,168.466431,165.623489,125.367340,167.036377,53.903999,279.936676,331.200867
2021-02-02,131.283493,229.295975,95.590721,169.000000,13.518001,265.000427,117.660530,253.495316,27.345303,139.158936,309.802490,27.258516,41.834976,113.524811,129.133255,43.750870,37.046917,69.710846,175.561844,169.485474,128.600586,172.888596,54.816002,290.929993,335.981995
2021-02-03,130.262299,232.637207,102.660660,165.626495,13.491827,264.573730,119.007881,254.890991,27.829990,138.511673,309.043365,27.141655,41.672638,113.665840,128.245209,43.884499,38.500221,71.232216,174.604218,168.655472,128.135284,172.370743,53.945000,284.896667,335.632324
2021-02-04,133.617599,231.689392,102.278801,166.550003,13.625197,264.414978,121.746628,259.484436,28.640741,139.797562,301.204987,27.180607,41.877708,113.736351,130.095367,44.297874,39.239052,71.264252,174.786591,169.883530,130.181107,176.083344,55.216000,283.329987,336.901001
2021-02-05,133.203644,231.871338,104.045799,167.607498,13.552153,266.012543,121.508873,259.263611,28.526178,141.920547,296.805603,27.203978,42.424576,114.212379,134.239746,44.866627,40.554340,71.472427,176.017853,171.856842,131.881989,176.991959,55.078999,284.076660,336.257202
2021-02-08,133.349762,232.129807,103.793358,166.147003,14.397481,264.504303,123.411011,265.137878,29.160686,142.326096,296.650177,27.126078,42.655270,113.859772,132.667068,45.074856,42.299919,73.250053,180.076279,172.652969,131.135818,185.628555,54.792000,287.806671,340.669006
2021-02-09,132.473160,233.374313,103.327187,165.250000,14.222483,267.351990,122.917862,265.411682,29.037310,143.491196,301.488495,27.242935,42.467289,113.419037,131.168472,45.323498,41.804493,72.833672,179.921234,171.094620,133.919830,183.879745,55.907001,283.153320,340.413544
2021-02-10,131.869247,232.464874,103.915871,164.328995,14.722049,269.753143,122.988342,268.786102,29.063747,143.957214,304.936646,27.063751,42.381840,113.022369,131.788300,44.795124,42.209091,74.082779,180.322510,171.213165,132.908936,185.267075,56.359001,268.273346,337.156647
2021-02-11,131.616013,234.063644,103.941147,163.106506,15.207158,268.284607,122.644867,267.054749,28.975624,143.309982,304.634705,26.822256,42.979973,113.119339,132.787354,44.760948,41.152206,73.682419,180.897095,171.230072,130.269363,186.517624,55.758999,270.553345,333.445374
2021-02-12,131.849762,234.542313,104.348801,163.885498,14.918487,268.393799,124.388527,270.588104,29.407434,143.758698,300.217133,27.048172,43.313221,112.493507,131.473770,44.900810,41.713676,74.106796,180.568756,172.407318,131.087708,183.352173,55.652000,272.040009,333.966064
2021-02-16,129.726517,233.307297,105.231064,163.447495,15.286431,271.836792,127.382614,275.570221,30.200560,142.455597,296.906250,27.024797,42.954342,112.757942,131.094452,45.270660,42.968719,75.625336,184.572495,172.297272,129.771942,182.062546,55.728001,265.406677,335.149536
2021-02-17,127.437553,234.324463,105.548958,165.432007,14.863395,271.439819,127.778923,276.259247,30.323935,142.964752,298.954987,27.180607,42.834709,113.233948,133.203674,45.749287,43.637520,77.890915,184.499527,170.992935,129.170181,182.150482,55.133999,266.049988,338.974396
2021-02-18,126.336967,233.931030,104.997971,166.411499,14.786617,267.292419,128.210434,273.750610,30.130056,143.033783,300.372620,26.923529,43.381580,114.177094,134.221222,42.784279,42.952206,77.143822,182.328964,172.364990,130.068787,178.789597,54.821999,262.459991,337.914093
2021-02-19,126.492828,231.225082,104.201508,162.494995,14.883835,259.523346,130.350388,278.803253,30.438503,140.651886,296.869629,26.830038,42.817619,112.052757,131.381256,42.995628,43.241192,77.793480,191.439911,172.398849,129.616669,179.424652,54.021999,260.433319,335.878510
2021-02-22,122.723434,225.026337,102.403275,159.037003,14.314719,258.302979,131.574417,279.907532,30.976063,140.565048,299.668427,26.689814,43.261948,111.576752,126.432037,42.793602,44.834766,79.896667,198.872787,172.449661,130.472473,187.348053,53.377998,238.166672,331.561340
2021-02-23,122.587074,223.836472,102.699844,159.725006,14.101581,263.789886,132.631195,281.974518,31.302126,139.323273,301.378754,26.417154,43.185047,112.405357,125.932457,42.103642,45.454041,80.903572,200.806259,173.652298,129.834641,192.555435,54.615002,232.946671,323.930542
2021-02-24,122.090347,225.064728,103.905449,157.976501,14.457555,262.251984,134.964844,292.071289,32.059998,141.190308,303.848236,26.292509,43.330307,112.528740,125.488426,41.401241,46.816410,83.891891,202.894745,178.725372,129.237183,192.965759,55.341000,247.339996,322.557739
2021-02-25,117.843712,219.729538,100.740936,152.858002,13.269464,252.706879,133.133118,289.527222,31.663443,141.337906,300.793396,26.347038,42.868889,111.576752,125.386635,41.009632,46.040268,83.112328,202.301956,174.208282,127.170273,186.586014,54.669998,227.406662,316.119904
