Date,AAPL,MSFT,AMZN,GOOGL,META,BRK-B,TSLA,NVDA,JPM,V,JNJ,WMT,PG,MA,XOM,UNH,HD,CVX,LLY,BAC,ABBV,KO,AVGO,PEP,COST,ORCL,TMO,CSCO,PFE,ABT,ADBE,NKE,DIS,MCD,WFC,DHR,PM,AMD,TXN,VZ,NEE,HON,RTX,AMGN,INTC,COP,LOW,IBM,GE,CAT
2021-01-04,125.856705,208.406540,159.331497,85.599022,266.845978,228.449997,243.256668,13.076016,109.491570,209.572968,135.059647,45.541054,119.853638,340.579315,33.693779,319.662170,232.104797,67.829147,156.794281,26.464048,85.339409,45.081974,38.173023,122.557877,358.677277,59.099358,465.204926,37.830803,28.367762,98.566498,485.339996,129.605042,173.592010,186.495712,26.340197,193.190521,63.420769,92.300003,139.822159,42.235981,64.869476,176.116867,60.811329,192.309921,44.902931,32.795181,144.930603,95.789566,50.937496,164.929382
2021-01-05,127.412781,208.607574,160.925507,86.289307,268.860107,227.470001,245.036667,13.366435,110.087326,206.445084,136.647583,45.298634,120.618889,336.635712,35.317585,315.363342,233.978027,69.662788,157.571182,26.666731,86.221848,44.586384,38.431583,122.923141,354.516418,58.366985,471.022308,37.848011,28.660601,99.786041,485.690002,130.650391,174.334534,187.613510,27.076305,197.984970,64.113335,92.769997,140.847885,42.042202,65.350166,176.548737,61.691109,193.243210,45.752720,34.676544,145.418549,97.489883,52.397022,166.278488
2021-01-06,123.123856,203.198547,156.919006,85.437851,261.259705,230.270004,251.993332,12.578444,115.256592,204.626221,137.933441,45.581459,121.888565,336.761658,36.218788,328.598053,235.314804,71.904831,155.676376,28.332304,85.477028,43.167950,38.194569,121.419525,349.119476,58.227394,478.407196,38.209457,28.413990,99.578300,466.309998,131.686554,174.998856,187.187729,28.991953,204.544952,64.198914,90.330002,141.546021,42.551758,68.549088,179.767059,62.455368,197.901230,46.195690,36.060616,147.361465,99.924438,55.267429,175.532272
2021-01-07,127.325203,208.980927,158.108002,87.989769,266.647461,232.880005,272.013336,13.305859,119.041542,205.771439,138.399490,45.578342,120.749336,339.429657,36.502956,333.866333,234.162704,72.241127,157.106949,28.957994,86.391876,42.689457,39.804199,121.028763,347.138245,58.692696,493.315186,38.691380,28.560423,100.544884,477.739990,134.091721,174.471298,188.057083,29.648239,207.452850,64.572449,95.160004,144.752411,42.456013,69.300728,180.063461,62.011036,198.554520,47.181080,37.046875,147.939819,99.692574,54.829571,175.867294
2021-01-08,128.424240,210.254242,159.134995,89.154633,265.486603,234.029999,293.339996,13.238799,119.172943,207.349823,138.114700,45.572132,120.697197,343.300720,36.908905,332.366241,236.651581,72.929741,157.656418,28.667177,86.845253,43.646458,40.006187,122.481422,349.044037,58.981178,505.117523,38.777431,28.614370,100.824921,485.100006,135.386856,174.578766,191.508057,29.435387,210.724152,64.658028,94.580002,147.527802,41.926495,70.908928,177.878418,62.082119,202.347092,46.692905,37.046875,149.150711,99.337059,55.170128,175.894485
2021-01-11,125.438484,208.215057,155.710495,87.094658,254.840164,233.429993,270.396667,13.582566,120.951530,204.886047,137.536484,45.777260,119.879730,337.819244,38.029335,329.951691,238.533646,73.346138,176.159134,29.143055,88.262032,42.894520,40.016953,120.705963,343.449036,58.655479,506.152710,39.035606,29.107584,100.129341,474.239990,136.034424,174.969574,190.053162,29.479734,211.269379,64.051071,97.250000,147.657120,41.679859,69.650345,176.464050,62.028805,201.566528,46.593472,37.593872,150.298355,99.375687,55.705288,175.532272
2021-01-12,125.263466,205.764221,156.041504,86.159393,249.134918,233.029999,283.146667,13.446207,122.852737,201.007553,136.466370,46.299404,119.183990,332.696625,38.873695,326.860229,243.018829,74.739372,169.394669,29.663000,88.877327,42.817623,40.342827,120.145248,343.628326,58.087803,491.777161,39.405651,28.652899,98.322624,471.649994,134.184265,171.940918,187.719955,30.100540,208.300964,63.086147,95.360001,148.510406,41.534794,69.702782,176.904480,63.557312,200.735031,48.130318,39.301182,152.711182,99.862602,57.310764,178.864349
2021-01-13,127.296066,207.114090,158.294495,86.646370,249.680649,234.509995,284.803345,13.493072,122.966637,201.479156,136.259247,45.826977,119.366623,336.004883,39.312126,324.729187,241.013626,74.667297,175.742233,29.486750,91.038948,42.860340,40.506218,121.130714,346.222961,57.752792,494.675903,39.035606,28.406296,101.312737,472.049988,132.324814,172.067902,188.154663,29.976379,207.565338,63.195084,91.779999,147.743332,41.389717,71.529480,175.329193,62.650856,201.710770,51.484241,38.977955,153.470276,98.092720,56.289097,177.370316
2021-01-14,125.370438,203.935699,156.373505,85.836555,243.727341,235.020004,281.666656,13.162519,123.685074,194.270721,138.641129,45.677814,118.096931,317.183228,40.846615,320.604279,235.992004,76.460922,176.869629,29.953815,91.432106,42.065689,40.583424,120.425613,341.882751,57.324722,489.943298,38.854897,28.321514,99.807121,463.269989,130.715134,169.439804,184.969818,30.818920,204.847885,63.171761,90.790001,148.001877,41.375214,72.132553,176.675812,63.041889,205.036713,53.563503,39.674133,153.976349,99.677109,56.726959,178.737610
2021-01-15,123.649033,203.581451,155.212494,85.672913,249.402832,233.490005,275.386658,12.822742,121.468445,194.010880,138.339066,44.953648,117.209938,313.622650,38.881824,321.308411,242.367966,73.738480,180.735031,29.090178,90.522919,41.612823,40.025028,120.111313,341.703461,57.492233,496.085968,39.095852,28.282991,100.949944,458.079987,130.178589,167.495590,186.220688,28.415483,204.891144,62.984985,88.209999,145.829819,41.621834,71.704262,174.439941,61.495583,208.286270,52.053772,37.394951,154.834808,99.228844,55.121479,176.220474
2021-01-19,124.320084,207.209839,156.037994,88.492111,259.066956,234.550003,281.516663,12.988021,120.942741,194.078278,140.479279,44.565151,116.183777,316.222900,39.653122,322.122498,240.257294,75.676216,188.039474,28.878681,91.882584,41.450470,41.229782,120.680504,334.447876,57.036224,500.266449,38.889313,28.306101,102.101860,456.500000,128.837234,168.296707,185.493210,28.938742,204.337280,63.732021,89.449997,150.139435,41.382469,72.377251,175.108963,61.637783,210.644989,52.424427,38.124298,154.852936,99.715752,55.607983,176.648239
2021-01-20,128.404709,214.772934,163.169006,93.232925,265.397308,234.759995,283.483337,13.327549,119.129143,198.264725,140.134094,45.224041,114.731453,324.925385,40.213329,320.887756,241.233475,76.372849,190.673218,28.499746,92.242989,41.595726,41.464085,120.060333,340.892090,57.287498,508.607880,39.018402,28.128855,102.392090,469.730011,132.102844,169.644974,189.520874,28.787968,205.150772,63.576405,88.750000,149.398193,41.534794,73.461052,176.226929,61.175686,214.115128,53.039165,37.593872,156.331131,100.534988,55.413376,175.082565
2021-01-21,133.111832,215.376068,165.349503,93.435257,270.745300,234.160004,281.663330,13.827862,118.130348,197.427368,139.573151,45.018917,114.618607,324.469391,39.060444,324.692566,245.410934,73.674400,191.705902,27.997427,91.129051,41.826431,41.907562,118.599213,342.307312,56.961796,505.176575,38.820477,28.113438,102.446510,472.019989,131.001892,167.339249,189.432144,28.380009,201.732361,63.288471,91.529999,150.923813,41.542046,73.163872,173.813278,60.526951,213.835129,56.465420,35.795406,156.285767,101.748421,53.856552,174.946014
2021-01-22,135.251450,216.314301,164.611496,93.852303,272.362640,232.919998,282.213318,13.673306,117.219139,194.424698,141.143829,45.478897,113.734962,319.181976,38.508350,317.878601,249.764175,73.450211,195.296570,27.803553,90.801422,41.433376,41.745979,117.732681,341.835571,56.170784,507.385162,38.527870,28.167381,102.346733,472.440002,128.911240,168.804749,189.299103,28.291321,206.007507,62.782650,92.790001,148.949982,41.687115,73.600906,171.289383,60.055962,215.082367,51.222069,35.381016,156.340179,91.670181,54.051159,174.718475
