algorithm,instance_id,p,selected_stocks,K,sharpe_ratio,feasible,approx_ratio
qaoa_saksham,medium_0030,1,MSFT+BAC+JNJ+WMT+XOM+CAT,6,0.1011,True,0.9587839376685844
qaoa_saksham,medium_0030,2,AAPL+MSFT+GS+JNJ+WMT+XOM,6,0.0884,True,0.9760646224530898
qaoa_saksham,medium_0031,1,NVDA+JPM+JNJ+WMT+CAT,5,0.0925,True,0.9749343320005472
qaoa_saksham,medium_0031,2,NVDA+KO+WMT+CVX+CAT,5,0.1003,True,1.0
qaoa_saksham,medium_0032,1,NVDA+PG+XOM+CVX+CAT+HON+COST,7,0.0182,True,0.9127153959731855
qaoa_saksham,medium_0032,2,MSFT+GOOG+BAC+PG+WMT+XOM+CAT,7,0.0837,True,0.8589875080288983
qaoa_saksham,medium_0033,1,NVDA+PG+WMT+CAT+COST,5,0.0141,True,0.9260386328373288
qaoa_saksham,medium_0033,2,JPM+GS+PG+WMT+XOM,5,0.0957,True,0.9348898840206663
qaoa_saksham,medium_0034,1,NVDA+JPM+KO+WMT+CVX,5,0.0969,True,1.0
qaoa_saksham,medium_0034,2,NVDA+UNH+WMT+CVX+COST,5,-0.0098,True,0.964049028737417
qaoa_saksham,medium_0035,1,JPM+JNJ+KO+PG+WMT+XOM+CAT,7,0.1475,True,
qaoa_saksham,medium_0035,2,MSFT+JNJ+PG+WMT+XOM+CAT+HON,7,0.0851,True,
qaoa_saksham,medium_0036,1,NVDA+JNJ+KO+WMT+XOM,5,0.1897,True,1.0
qaoa_saksham,medium_0036,2,MSFT+GS+KO+WMT+XOM,5,0.0789,True,0.9496238169114278
qaoa_saksham,medium_0037,1,JPM+UNH+WMT+XOM+COST,5,-0.0059,True,1.0
qaoa_saksham,medium_0037,2,UNH+WMT+XOM+CVX+COST,5,-0.0166,True,0.9675142788770356
qaoa_saksham,medium_0038,1,GS+KO+PG+XOM+HON+COST,6,0.0226,True,0.9643450788345901
qaoa_saksham,medium_0038,2,META+GS+PG+XOM+CAT+COST,6,0.0157,True,0.9734321521179389
qaoa_saksham,medium_0039,1,AMZN+JNJ+UNH+KO+PG+XOM,6,-0.0627,True,0.9540383358918835
qaoa_saksham,medium_0039,2,GS+JNJ+KO+PG+XOM+COST,6,0.0316,True,0.9962739633089045
qaoa_saksham,medium_0040,1,NVDA+UNH+PG+WMT+XOM+CAT+HON,7,0.0279,True,
qaoa_saksham,medium_0040,2,AMZN+META+KO+WMT+XOM+CAT+UPS,7,0.0354,True,
qaoa_saksham,medium_0041,1,JNJ+UNH+KO+PG+WMT+XOM+CAT+COST,8,0.0121,True,
qaoa_saksham,medium_0041,2,JNJ+PFE+KO+PG+WMT+XOM+CAT+COST,8,0.035,True,
qaoa_saksham,n7_gap_0000,1,JPM+WMT,2,0.0869,True,1.0
qaoa_saksham,n7_gap_0000,2,JPM+WMT,2,0.0869,True,1.0
qaoa_saksham,n7_gap_0001,1,AAPL+XOM,2,0.0653,True,1.0
qaoa_saksham,n7_gap_0001,2,AAPL+XOM,2,0.0653,True,1.0
qaoa_saksham,n7_gap_0002,1,GS+CVX,2,0.0971,True,1.0
qaoa_saksham,n7_gap_0002,2,GS+CVX,2,0.0971,True,1.0
qaoa_saksham,n7_gap_0003,1,GS+COST,2,0.0099,True,1.0
qaoa_saksham,n7_gap_0003,2,GS+COST,2,0.0099,True,1.0
qaoa_saksham,n7_gap_0004,1,NVDA+GS,2,0.051,True,1.0
qaoa_saksham,n7_gap_0004,2,NVDA+GS,2,0.051,True,1.0
qaoa_saksham,small_0015,1,WMT+XOM,2,0.1367,True,1.0
qaoa_saksham,small_0015,2,WMT+XOM,2,0.1367,True,1.0
qaoa_saksham,small_0016,1,WMT+XOM+COST,3,0.0001,True,1.0
qaoa_saksham,small_0016,2,WMT+XOM+COST,3,0.0001,True,1.0
qaoa_saksham,small_0017,1,GS+WMT+COST,3,0.0144,True,1.0
qaoa_saksham,small_0017,2,UNH+WMT+COST,3,-0.0132,True,0.8946087100314973
qaoa_saksham,small_0018,1,NVDA+WMT+XOM+CAT,4,0.0734,True,1.0
qaoa_saksham,small_0018,2,NVDA+WMT+XOM+CAT,4,0.0734,True,1.0
qaoa_saksham,small_0019,1,NVDA+WMT,2,0.0483,True,1.0
qaoa_saksham,small_0019,2,NVDA+WMT,2,0.0483,True,1.0
qaoa_saksham,small_0020,1,NVDA+KO+CAT,3,0.0691,True,1.0
qaoa_saksham,small_0020,2,NVDA+KO+CAT,3,0.0691,True,1.0
qaoa_saksham,small_0021,1,JPM+WMT,2,0.0869,True,1.0
qaoa_saksham,small_0021,2,JPM+WMT,2,0.0869,True,1.0
qaoa_saksham,small_0022,1,AAPL+JPM+KO+CVX,4,0.1157,True,0.9936615303879202
qaoa_saksham,small_0022,2,META+JPM+KO+CVX,4,0.0194,True,1.0
qaoa_saksham,small_0023,1,NVDA+CAT+COST,3,0.0098,True,1.0
qaoa_saksham,small_0023,2,NVDA+CAT+COST,3,0.0098,True,1.0
qaoa_saksham,small_0024,1,AAPL+WMT+XOM,3,0.0828,True,1.0
qaoa_saksham,small_0024,2,META+WMT+XOM,3,0.011,True,0.9853365538917097
qaoa_saksham,small_0025,1,GS+CAT+NFLX,3,0.0633,True,1.0
qaoa_saksham,small_0025,2,GS+CAT+NFLX,3,0.0633,True,1.0
qaoa_saksham,small_0026,1,JNJ+KO+WMT+XOM,4,0.6595,True,0.9540807223095684
