algorithm,instance_id,p,selected_stocks,K,sharpe_ratio,feasible,approx_ratio
qaoa_saksham,medium_0030,1,MSFT+BAC+JNJ+WMT+XOM+CAT,6,1.8538,True,0.9587839376685844
qaoa_saksham,medium_0030,2,AAPL+MSFT+GS+JNJ+WMT+XOM,6,1.6508,True,0.9760646224530898
qaoa_saksham,medium_0031,1,NVDA+JPM+JNJ+WMT+CAT,5,1.9789,True,0.9749343320005472
qaoa_saksham,medium_0031,2,NVDA+KO+WMT+CVX+CAT,5,1.3579,True,1.0
qaoa_saksham,medium_0032,1,NVDA+PG+XOM+CVX+CAT+HON+COST,7,0.5619,True,0.9127153959731855
qaoa_saksham,medium_0032,2,MSFT+GOOG+BAC+PG+WMT+XOM+CAT,7,1.5359,True,0.8589875080288983
qaoa_saksham,medium_0033,1,NVDA+PG+WMT+CAT+COST,5,0.879,True,0.9260386328373288
qaoa_saksham,medium_0033,2,JPM+GS+PG+WMT+XOM,5,1.3562,True,0.9348898840206663
qaoa_saksham,medium_0034,1,NVDA+JPM+KO+WMT+CVX,5,1.1265,True,1.0
qaoa_saksham,medium_0034,2,NVDA+UNH+WMT+CVX+COST,5,0.1068,True,0.964049028737417
qaoa_saksham,medium_0035,1,JPM+JNJ+KO+PG+WMT+XOM+CAT,7,1.7729,True,
qaoa_saksham,medium_0035,2,MSFT+JNJ+PG+WMT+XOM+CAT+HON,7,1.2827,True,
qaoa_saksham,medium_0036,1,NVDA+JNJ+KO+WMT+XOM,5,1.512,True,1.0
qaoa_saksham,medium_0036,2,MSFT+GS+KO+WMT+XOM,5,1.4967,True,0.9496238169114278
qaoa_saksham,medium_0037,1,JPM+UNH+WMT+XOM+COST,5,0.2686,True,1.0
qaoa_saksham,medium_0037,2,UNH+WMT+XOM+CVX+COST,5,-0.1088,True,0.9675142788770356
qaoa_saksham,medium_0038,1,GS+KO+PG+XOM+HON+COST,6,0.4935,True,0.9643450788345901
qaoa_saksham,medium_0038,2,META+GS+PG+XOM+CAT+COST,6,0.97,True,0.9734321521179389
qaoa_saksham,medium_0039,1,AMZN+JNJ+UNH+KO+PG+XOM,6,0.2002,True,0.9540383358918835
qaoa_saksham,medium_0039,2,GS+JNJ+KO+PG+XOM+COST,6,1.2005,True,0.9962739633089045
qaoa_saksham,medium_0040,1,NVDA+UNH+PG+WMT+XOM+CAT+HON,7,0.5268,True,
qaoa_saksham,medium_0040,2,AMZN+META+KO+WMT+XOM+CAT+UPS,7,0.7254,True,
qaoa_saksham,medium_0041,1,JNJ+UNH+KO+PG+WMT+XOM+CAT+COST,8,0.8243,True,
qaoa_saksham,medium_0041,2,JNJ+PFE+KO+PG+WMT+XOM+CAT+COST,8,1.1424,True,
warm_start_qaoa_saksham,medium_0030,1,NVDA+JNJ+WMT+XOM+CVX+HON,6,1.0201,True,1.0
warm_start_qaoa_saksham,medium_0030,2,NVDA+JNJ+WMT+XOM+CVX+HON,6,1.0201,True,1.0
warm_start_qaoa_saksham,medium_0031,1,NVDA+GS+UNH+WMT+CAT,5,1.2448,True,0.9416392785275606
warm_start_qaoa_saksham,medium_0031,2,NVDA+JNJ+KO+WMT+CAT,5,1.942,True,0.9844126958316212
warm_start_qaoa_saksham,medium_0032,1,NVDA+JPM+PG+WMT+XOM+CVX+HON,7,0.6531,True,0.9682064831715173
warm_start_qaoa_saksham,medium_0032,2,AMZN+META+BAC+PG+WMT+CVX+HON,7,0.2413,True,0.7572619082048339
warm_start_qaoa_saksham,medium_0033,1,JPM+GS+WMT+XOM+COST,5,1.3207,True,0.9371399128770976
warm_start_qaoa_saksham,medium_0033,2,NVDA+PFE+WMT+CVX+COST,5,0.4631,True,0.8446250666915244
warm_start_qaoa_saksham,medium_0034,1,NVDA+JPM+PG+WMT+CVX,5,0.8232,True,0.9965954979815548
warm_start_qaoa_saksham,medium_0034,2,NVDA+JPM+WMT+HON+COST,5,0.6439,True,0.9396219838525987
warm_start_qaoa_saksham,medium_0035,1,NVDA+UNH+KO+PG+WMT+XOM+UPS,7,0.0491,True,
warm_start_qaoa_saksham,medium_0035,2,NVDA+JPM+JNJ+KO+WMT+CVX+CAT,7,1.7914,True,
warm_start_qaoa_saksham,medium_0036,1,NVDA+JPM+JNJ+WMT+XOM,5,1.6168,True,0.9850726945892824
warm_start_qaoa_saksham,medium_0036,2,NVDA+JPM+JNJ+WMT+XOM,5,1.6168,True,0.9850726945892824
warm_start_qaoa_saksham,medium_0037,1,GS+WMT+XOM+HON+COST,5,0.8413,True,0.9835164483256589
warm_start_qaoa_saksham,medium_0037,2,JPM+UNH+WMT+XOM+COST,5,0.2686,True,1.0
warm_start_qaoa_saksham,medium_0038,1,KO+PG+XOM+CAT+NFLX+COST,6,0.598,True,0.9730189748090996
warm_start_qaoa_saksham,medium_0038,2,MSFT+KO+PG+XOM+CAT+COST,6,0.7979,True,0.9868115120710963
warm_start_qaoa_saksham,medium_0039,1,NVDA+JNJ+KO+PG+XOM+COST,6,0.7917,True,0.9914350156567988
warm_start_qaoa_saksham,medium_0039,2,NVDA+JPM+JNJ+PG+XOM+COST,6,0.949,True,0.9707597803408505
warm_start_qaoa_saksham,medium_0040,1,NVDA+META+JNJ+PG+WMT+XOM+CAT,7,1.2603,True,
warm_start_qaoa_saksham,medium_0040,2,AAPL+NVDA+UNH+PG+WMT+XOM+UPS,7,0.0097,True,
warm_start_qaoa_saksham,medium_0041,1,MSFT+KO+PG+WMT+XOM+CVX+HON+DIS,8,0.3255,True,
warm_start_qaoa_saksham,medium_0041,2,BAC+JNJ+KO+PG+WMT+XOM+CVX+CAT,8,1.4143,True,
